Pointer[#version],Original,Translated
0x6038c,おかしい ですわね ここにも<4E>ユウキちゃんが いませんことよ<4C>どこかに かくれて いるのかしら?,
0x6038e,おいそがしいところ<4E>もうしわけございません ですけど<4C>ミルキーって まじょに さらわれた<4E>ユウキちゃんを しリませんこと?<4C>しらないよー そんなヤツ<4E>その ミルキーってのが まじょなら<4C>ボクが アクマつきに なったのも<4E>きっと そのまじょの せいなんだ<4C>うわーーーーーん!,
0x60390,ゆるせませんわ まじょミルキー!<4C>みつけだして こらしめて<4E>あげるんだからっ!!,
0x60392,そうだろう<4E>こわくてかかって これないだろう,
0x60394,まってたよ ベイビー<4E>また ぼくに あいにきてくれたんだね<4C>ニセ ユウキちゃん<4E>わたくしは だまされなくてよっ!,
0x60396,・・・きえちゃった!?<4E>やっぱリ ニセモノだったのね<4C>ユウキちゃんの ニセモノを<4E>だすなんて ゆるせない!,
0x60398,ニセ ヒカルちゃんっ!!<4E>しょうぶ ですのよっ!!,
0x6039a,ぼくのこと ニセモノって いうけど<4E>それじゃあ ぼくの めのまえにいる<4C>パディが ホンモノだっていう<4E>しょうこは どこに あるんだよ?,
0x6039c,フィールドの うえには<4E>だれも いない,
0x6039e,さかせましょう おこめのはな,
0x603a0,ちらしましょう あくのはな,
0x603a2,てんよリ まいおリた,
0x603a4,びしょうじょ メダロッター コマチ,
0x603a6,ただいま さんじょう!,
0x603a8,<*00>,
0x60008,=0x60006,=0x60006
0x6000a,=0x60006,=0x60006
0x6000c,=0x60006,=0x60006
0x6000e,=0x60006,=0x60006
0x60010,=0x60006,=0x60006
0x60012,=0x60006,=0x60006
0x60014,=0x60006,=0x60006
0x60016,=0x60006,=0x60006
0x60018,=0x60006,=0x60006
0x6001a,=0x60006,=0x60006
0x6001c,=0x60006,=0x60006
0x6001e,=0x60006,=0x60006
0x60020,=0x60006,=0x60006
0x60030,=0x6002e,=0x6002e
0x60032,=0x6002e,=0x6002e
0x60034,=0x6002e,=0x6002e
0x60036,=0x6002e,=0x6002e
0x60038,=0x6002e,=0x6002e
0x6003a,=0x6002e,=0x6002e
0x6003c,=0x6002e,=0x6002e
0x6003e,=0x6002e,=0x6002e
0x60040,=0x6002e,=0x6002e
0x6007e,=0x6007c,=0x6007c
0x60080,=0x6007c,=0x6007c
0x60090,=0x6008e,=0x6008e
0x60092,=0x6008e,=0x6008e
0x60094,=0x6008e,=0x6008e
0x60096,=0x6008e,=0x6008e
0x60098,=0x6008e,=0x6008e
0x6009a,=0x6008e,=0x6008e
0x6009c,=0x6008e,=0x6008e
0x6009e,=0x6008e,=0x6008e
0x600a0,=0x6008e,=0x6008e
0x600b0,=0x600ae,=0x600ae
0x600b2,=0x600ae,=0x600ae
0x600b4,=0x600ae,=0x600ae
0x600b6,=0x600ae,=0x600ae
0x600b8,=0x600ae,=0x600ae
0x600ba,=0x600ae,=0x600ae
0x600bc,=0x600ae,=0x600ae
0x600be,=0x600ae,=0x600ae
0x600c0,=0x600ae,=0x600ae
0x600ce,=0x600cc,=0x600cc
0x600d0,=0x600cc,=0x600cc
0x600d2,=0x600cc,=0x600cc
0x600d4,=0x600cc,=0x600cc
0x600d6,=0x600cc,=0x600cc
0x600d8,=0x600cc,=0x600cc
0x600da,=0x600cc,=0x600cc
0x600dc,=0x600cc,=0x600cc
0x600de,=0x600cc,=0x600cc
0x600e0,=0x600cc,=0x600cc
0x60114,=0x60112,=0x60112
0x60116,=0x60112,=0x60112
0x60118,=0x60112,=0x60112
0x6011a,=0x60112,=0x60112
0x6011c,=0x60112,=0x60112
0x6011e,=0x60112,=0x60112
0x60120,=0x60112,=0x60112
0x60122,=0x60112,=0x60112
0x60124,=0x60112,=0x60112
0x60126,=0x60112,=0x60112
0x60128,=0x60112,=0x60112
0x6012a,=0x60112,=0x60112
0x6012c,=0x60112,=0x60112
0x6012e,=0x60112,=0x60112
0x60130,=0x60112,=0x60112
0x60132,=0x60112,=0x60112
0x60134,=0x60112,=0x60112
0x60136,=0x60112,=0x60112
0x60138,=0x60112,=0x60112
0x6013a,=0x60112,=0x60112
0x6013c,=0x60112,=0x60112
0x6013e,=0x60112,=0x60112
0x60140,=0x60112,=0x60112
0x60142,=0x60112,=0x60112
0x60144,=0x60112,=0x60112
0x60146,=0x60112,=0x60112
0x60148,=0x60112,=0x60112
0x6014a,=0x60112,=0x60112
0x6014c,=0x60112,=0x60112
0x6014e,=0x60112,=0x60112
0x60150,=0x60112,=0x60112
0x60152,=0x60112,=0x60112
0x60154,=0x60112,=0x60112
0x60156,=0x60112,=0x60112
0x60158,=0x60112,=0x60112
0x6015a,=0x60112,=0x60112
0x6015c,=0x60112,=0x60112
0x6015e,=0x60112,=0x60112
0x60160,=0x60112,=0x60112
0x60162,=0x60112,=0x60112
0x60164,=0x60112,=0x60112
0x60166,=0x60112,=0x60112
0x60168,=0x60112,=0x60112
0x6016a,=0x60112,=0x60112
0x6016c,=0x60112,=0x60112
0x6016e,=0x60112,=0x60112
0x60170,=0x60112,=0x60112
0x60172,=0x60112,=0x60112
0x60174,=0x60112,=0x60112
0x60176,=0x60112,=0x60112
0x60178,=0x60112,=0x60112
0x6017a,=0x60112,=0x60112
0x6017c,=0x60112,=0x60112
0x6017e,=0x60112,=0x60112
0x60180,=0x60112,=0x60112
0x60182,=0x60112,=0x60112
0x60184,=0x60112,=0x60112
0x60186,=0x60112,=0x60112
0x60188,=0x60112,=0x60112
0x6018a,=0x60112,=0x60112
0x6018c,=0x60112,=0x60112
0x6018e,=0x60112,=0x60112
0x60190,=0x60112,=0x60112
0x60192,=0x60112,=0x60112
0x60194,=0x60112,=0x60112
0x60196,=0x60112,=0x60112
0x60198,=0x60112,=0x60112
0x6019a,=0x60112,=0x60112
0x6019c,=0x60112,=0x60112
0x6019e,=0x60112,=0x60112
0x601a0,=0x60112,=0x60112
0x601a2,=0x60112,=0x60112
0x601a4,=0x60112,=0x60112
0x601a6,=0x60112,=0x60112
0x601a8,=0x60112,=0x60112
0x601aa,=0x60112,=0x60112
0x601ac,=0x60112,=0x60112
0x601ae,=0x60112,=0x60112
0x601b0,=0x60112,=0x60112
0x601b2,=0x60112,=0x60112
0x601b4,=0x60112,=0x60112
0x601b6,=0x60112,=0x60112
0x601b8,=0x60112,=0x60112
0x601ba,=0x60112,=0x60112
0x601bc,=0x60112,=0x60112
0x601be,=0x60112,=0x60112
0x601c0,=0x60112,=0x60112
0x601c2,=0x60112,=0x60112
0x601c4,=0x60112,=0x60112
0x601c6,=0x60112,=0x60112
0x601c8,=0x60112,=0x60112
0x601ca,=0x60112,=0x60112
0x601cc,=0x60112,=0x60112
0x601ce,=0x60112,=0x60112
0x601d0,=0x60112,=0x60112
0x601d2,=0x60112,=0x60112
0x601d4,=0x60112,=0x60112
0x601d6,=0x60112,=0x60112
0x601d8,=0x60112,=0x60112
0x601da,=0x60112,=0x60112
0x601dc,=0x60112,=0x60112
0x601de,=0x60112,=0x60112
0x601e0,=0x60112,=0x60112
0x601e2,=0x60112,=0x60112
0x601e4,=0x60112,=0x60112
0x601e6,=0x60112,=0x60112
0x601e8,=0x60112,=0x60112
0x601ea,=0x60112,=0x60112
0x601ec,=0x60112,=0x60112
0x601ee,=0x60112,=0x60112
0x601f0,=0x60112,=0x60112
0x601f2,=0x60112,=0x60112
0x601f4,=0x60112,=0x60112
0x601f6,=0x60112,=0x60112
0x601f8,=0x60112,=0x60112
0x601fa,=0x60112,=0x60112
0x601fc,=0x60112,=0x60112
0x601fe,=0x60112,=0x60112
0x60200,=0x60112,=0x60112
0x60214,=0x60212,=0x60212
0x6023c,=0x6023a,=0x6023a
0x6027a,=0x60278,=0x60278
0x6027c,=0x60278,=0x60278
0x6027e,=0x60278,=0x60278
0x60280,=0x60278,=0x60278
0x60294,=0x60292,=0x60292
0x602bc,=0x602ba,=0x602ba
0x602fa,=0x602f8,=0x602f8
0x602fc,=0x602f8,=0x602f8
0x602fe,=0x602f8,=0x602f8
0x60300,=0x602f8,=0x602f8
0x60314,=0x60312,=0x60312
0x60328,=0x60326,=0x60326
0x6033c,=0x6033a,=0x6033a
0x60350,=0x6034e,=0x6034e
0x60364,=0x60362,=0x60362
0x60378,=0x60376,=0x60376
0x6037a,=0x60376,=0x60376
0x6037c,=0x60376,=0x60376
0x6037e,=0x60376,=0x60376
0x60380,=0x60376,=0x60376
0x603aa,=0x603a8,=0x603a8
0x603ac,=0x603a8,=0x603a8
0x603ae,=0x603a8,=0x603a8
0x603b0,=0x603a8,=0x603a8
0x603b2,=0x603a8,=0x603a8
0x603b4,=0x603a8,=0x603a8
0x603b6,=0x603a8,=0x603a8
0x603b8,=0x603a8,=0x603a8
0x603ba,=0x603a8,=0x603a8
0x603bc,=0x603a8,=0x603a8
0x603be,=0x603a8,=0x603a8
0x603c0,=0x603a8,=0x603a8
0x603c2,=0x603a8,=0x603a8
0x603c4,=0x603a8,=0x603a8
0x603c6,=0x603a8,=0x603a8
0x603c8,=0x603a8,=0x603a8
0x603ca,=0x603a8,=0x603a8
0x603cc,=0x603a8,=0x603a8
0x603ce,=0x603a8,=0x603a8
0x603d0,=0x603a8,=0x603a8
0x603d2,=0x603a8,=0x603a8
0x603d4,=0x603a8,=0x603a8
0x603d6,=0x603a8,=0x603a8
0x603d8,=0x603a8,=0x603a8
0x603da,=0x603a8,=0x603a8
0x603dc,=0x603a8,=0x603a8
0x603de,=0x603a8,=0x603a8
0x603e0,=0x603a8,=0x603a8
0x603e2,=0x603a8,=0x603a8
0x603e4,=0x603a8,=0x603a8
0x603e6,=0x603a8,=0x603a8
0x603e8,=0x603a8,=0x603a8
0x603ea,=0x603a8,=0x603a8
0x603ec,=0x603a8,=0x603a8
0x603ee,=0x603a8,=0x603a8
0x603f0,=0x603a8,=0x603a8
0x603f2,=0x603a8,=0x603a8
0x603f4,=0x603a8,=0x603a8
0x603f6,=0x603a8,=0x603a8
0x603f8,=0x603a8,=0x603a8
0x603fa,=0x603a8,=0x603a8
0x603fc,=0x603a8,=0x603a8
0x603fe,=0x603a8,=0x603a8
